channel,mean_uV,std_uV,min_uV,max_uV,ptp_uV
AF3,0.00711896763226651,0.0005698587195337147,-0.08148248073472128,0.012985709743762917,0.0944681904784842
AF4,-0.00710239411391367,0.0006941878884082366,-0.08094852285449149,-0.0031838842494295466,0.07776463860506194
AF7,0.0051781941478355855,0.0007557326856434406,-0.08142827533286962,0.011662992556970954,0.09309126788984057
AF8,0.005848744591322076,0.001131857397777092,-0.0814889974575742,0.013221272468188801,0.094710269925763
C1,0.005144851188165537,0.001715128733906302,-0.08128750426100194,0.00811747334837748,0.08940497760937942
C2,0.0016511011303715446,0.0008913051322257799,-0.08130997111601365,0.007765433189946477,0.08907540430596013
C3,0.006706808122701336,0.0005963014512694071,-0.08144078756146728,0.011735248534532568,0.09317603609599984
C4,0.0008598912076368652,0.00044001668144783533,-0.08124741895965135,0.005871609760731086,0.08711902872038244
C5,0.005324308337353079,0.0009259800502806105,-0.08144861377380203,0.011979389346859617,0.09342800312066164
C6,0.0011513147814186094,0.0006319682321332612,-0.08127688296996406,0.006786530678627068,0.08806341364859113
CP1,0.001180703534769839,0.0010026344461073592,-0.08124697465182422,0.00585653937924323,0.08710351403106745
CP2,0.0005695889613027231,0.0009141655735324237,-0.0811429180678869,0.00438984990420796,0.08553276797209486
CP3,0.004874211090938943,0.0015951518490369178,-0.0815015682006563,0.013597105324538353,0.09509867352519465
CP4,0.002210859099588024,0.00039692897618735546,-0.08128025052954449,0.006871302524440037,0.08815155305398453
CP5,-0.0005112972540588087,0.0005337733764951514,-0.08119974842212663,0.004420729786960792,0.08562047820908741
CP6,0.0030790236735164255,0.0006582326665051739,-0.08135231267441945,0.009058798935405028,0.09041111160982447
Cz,0.004399278511406293,0.0005097987712684372,-0.08138248369617115,0.009978260828779548,0.0913607445249507
F1,0.003763760210546361,0.000579681902853933,-0.0813676246593782,0.009513045910834735,0.09088067057021294
F2,-0.0065612069880711206,0.0005560189050782282,-0.08101276503425109,-0.0012532196082348963,0.0797595454260162
F3,0.0024095132552392766,0.0005640388039530579,-0.08131671241973604,0.007962419370533543,0.08927913179026958
F4,-0.003266435795591128,0.0015108668515145525,-0.081041657715684,0.00021088278865569188,0.0812525405043397
F5,0.0009478229802377996,0.0005153716847887693,-0.08126265637386909,0.006316332108611669,0.08757898848248076
F6,0.004441943556045189,0.0005404581180270675,-0.08139407830137713,0.010249791362619482,0.09164386966399661
F7,0.00498562788648597,0.0007331311731072714,-0.08142083809096598,0.011125739420737723,0.0925465775117037
F8,0.005087539684758427,0.0006321668555024771,-0.0814175982938871,0.01102155131261924,0.09243914960650634
FC1,0.00883646432680278,0.0022069462387737694,-0.08161185966156463,0.01692887329449637,0.098540732956061
FC2,-0.007896625112615314,0.0003135645096489726,-0.08092792783879857,-0.00383631754964824,0.07709161028915033
FC3,0.005598096327111366,0.0012450158747752736,-0.0814896650986051,0.01321418638607004,0.09470385148467514
