channel,mean_uV,std_uV,min_uV,max_uV,ptp_uV
AF3,-0.005328215727607899,0.0038710145011220955,-0.08907181158554033,0.08397818529038206,0.17304999687592237
AF4,-0.018459555884939933,0.003297201550335114,-0.08824992804417293,0.005235193949938904,0.09348512199411184
AF7,0.01711015780873906,0.008166185160709284,-0.08824041778357797,0.03101428265731167,0.11925470044088964
AF8,-0.0021379302883503763,0.003919179577498681,-0.08806317752087961,0.0022112443262494487,0.09027442184712905
C1,-0.0023832041448156177,0.002848267182686241,-0.08812756785540961,0.009473439518127416,0.09760100737353702
C2,-0.001159066113199635,0.0026015964236449853,-0.08804297687177924,-2.5120656418296458e-05,0.08801785621536094
C3,-0.006952442244109977,0.0027472283318343287,-0.08800763358117246,0.0839727815229618,0.17198041510413425
C4,-0.004524048939522735,0.0021383240785280704,-0.08757389825872358,0.08422817435274799,0.17180207261147157
C5,-0.005801681532187018,0.00307359394249241,-0.08811934162786582,0.00029660378841060014,0.08841594541627643
C6,0.008664945227960175,0.004944709004486673,-0.08805575194338065,0.015128428061452601,0.10318418000483326
CP1,-0.007048143841256358,0.004552475384576084,-0.08985993771888062,0.08468981458929403,0.17454975230817465
CP2,0.008823441386691376,0.0034399921697069215,-0.08793101037651696,0.08400575094715779,0.17193676132367475
CP3,-0.003662031133859628,0.002815476451777831,-0.08817158580948836,0.0013517846707148352,0.0895233704802032
CP4,0.00274281606430365,0.002771921189118734,-0.0881662330104841,0.0040817124205893476,0.09224794543107344
CP5,0.0049818157532753446,0.002432479132330851,-0.08802337153852807,0.07415469314062129,0.16217806467914936
CP6,0.038631506072545396,0.005129366916029032,-0.08815138157307739,0.08514483895588536,0.17329622052896276
Cz,-0.005680845317385431,0.0016463816263937072,-0.08797650149072248,0.08467628499494637,0.17265278648566884
F1,-0.00016723658403762273,0.0026801857459455374,-0.08818072331721372,0.0018152587248683964,0.08999598204208212
F2,-0.022451672699301317,0.003032043709595613,-0.08822033024528496,0.013211415429574576,0.10143174567485953
F3,-0.030216106834022524,0.003539574015649477,-0.08820876144505657,0.083958172389841,0.17216693383489756
F4,-0.0026874844965130784,0.002110339638437047,-0.08820346810792443,0.08430830631101949,0.17251177441894391
F5,-0.027432312513859636,0.0034772798158065592,-0.08823530737846219,0.0026047235097070385,0.09084003088816923
F6,-0.0030005675854195136,0.003723532245963567,-0.08797142224766022,0.002420696566434097,0.09039211881409431
F7,-0.015034394137325201,0.00279972485650124,-0.08818430074313699,0.08423999383171635,0.17242429457485334
F8,-8.355438207755432e-06,0.0020471559993959342,-0.08819980598908439,0.08405509778295495,0.17225490377203934
FC1,0.01125540798647703,0.0022774914515736487,-0.08824027241531915,0.08404496006220652,0.17228523247752567
FC2,0.01607276562849231,0.004046621018663254,-0.08811365058541781,0.08412052816211782,0.17223417874753563
FC3,-0.0017427504564682342,0.0029207821772910506,-0.08829048913851015,0.04306451497733817,0.13135500411584833
FC4,0.004662906568759436,0.0028043230934052853,-0.08822749938503906,0.0062889911758181325,0.09451649056085719
FC5,-0.005606875369366739,0.002715532153697053,-0.0880542420124969,0.08412357815444019,0.17217782016693708
FC6,-0.019790489144568758,0.003505590134471722,-0.088485157600348,0.08396914116845962,0.17245429876880763
FCz,0.01838545129339721,0.004556728450082131,-0.0881117559474314,0.02345440163578849,0.11156615758321989
FT7,-0.01105009155531899,0.003188589071872658,-0.08806467227588768,0.023816081208860113,0.1118807534847478
FT8,-0.013203443579109174,0.012654099708834693,-0.08813745687763885,0.00900994149317321,0.09714739837081206
Fp1,-0.01221887160369598,0.0036857691361196093,-0.08817888188604701,0.08426172441688923,0.17244060630293623
Fp2,-0.007492119117324672,0.001869962727092011,-0.08818547243662951,0.08433656455798726,0.17252203699461677
Fpz,-0.009345443713133129,0.002115622508361588,-0.08820884032018303,0.08420652284774899,0.17241536316793202
Fz,-0.006333067909795022,0.0023332868217066276,-0.08819505388118892,0.08413791734049156,0.17233297122168048
O1,0.015324217023060232,0.002896621373830703,-0.08797393004111756,0.04783399130421132,0.13580792134532887
O2,0.007357807446321962,0.007305650612407723,-0.08816431623050204,0.08427438201396256,0.17243869824446462
Oz,0.030031114007130398,0.004979065539432094,-0.08813268611278914,0.035762911991601955,0.1238955981043911
P1,0.028462342896689,0.004344534230824063,-0.08829587669905073,0.0840119010149955,0.17230777771404623
P2,0.0423146266186329,0.006402440984709044,-0.08798944883702046,0.045947002818813455,0.13393645165583393
P3,0.008250940551090592,0.0037183998122756762,-0.08803773617763896,0.05083010233224351,0.1388678385098825
P4,0.03162181147039104,0.004410782005633572,-0.08860186426287567,0.08409576383735179,0.17269762810022746
P5,0.014475028555973558,0.00432054466374686,-0.08821652383683462,0.018748714525543587,0.1069652383623782
P6,0.028669801940237247,0.006608282191872149,-0.08804094990276985,0.052467749684963996,0.14050869958773385
P7,-0.0009397999090870838,0.0017618868923494505,-0.08803268864506496,0.0396923421350745,0.12772503078013947
P8,0.022391410241853475,0.004432786647901828,-0.08813863339783992,0.03839746283219994,0.12653609623003986
PO3,0.024125121954780723,0.004196397444877654,-0.08821795509332561,0.046565291852265836,0.13478324694559146
PO4,0.008189143113700212,0.005133959130852416,-0.0879364867416185,0.035304661800368585,0.12324114854198709
PO5,0.0009255155017869474,0.002746434307634966,-0.08815533836495237,0.0033197046013423714,0.09147504296629475
PO6,0.041187425355249975,0.007924415758353658,-0.08823121633205874,0.07065334029542267,0.1588845566274814
PO7,-0.001820990050065152,0.002581159696919257,-0.08795660349932045,0.0003094243998726376,0.08826602789919309
PO8,0.02750462532289615,0.005551946335946589,-0.08806029982027763,0.03126068487226017,0.1193209846925378
POz,-7.953768450285847e-05,0.0024969662433769486,-0.08795946527334692,0.008185275122595197,0.09614474039594212
Pz,-0.0018059559859990631,0.0019065495719412897,-0.08805972270829487,0.08410753008109761,0.1721672527893925
T7,-0.02601519036214403,0.0032309668377718498,-0.08822756281603357,0.08424361007164964,0.1724711728876832
T8,0.025083796145432154,0.004888548174359656,-0.08804072740862401,0.08430305142314952,0.17234377883177354
TP7,0.018996116945395915,0.004163259658065211,-0.08822663608962125,0.023971181869079906,0.11219781795870115
TP8,0.024107804134100224,0.004297496941124442,-0.08821105062429263,0.02675542806396569,0.11496647868825832
