channel,mean_uV,std_uV,min_uV,max_uV,ptp_uV
AF3,0.000934476773223966,0.004284148033678414,-0.07156575584329003,0.011896242568952164,0.0834619984122422
AF4,-0.006362806198723752,0.003934711439704287,-0.07115215919092965,0.004194098160856025,0.07534625735178568
AF7,0.0012217871533619752,0.004844723051608117,-0.07135889449370014,0.012639966410457653,0.0839988609041578
AF8,-0.014135151130533444,0.0035990252489943256,-0.07045318666533792,-0.005378708055142417,0.06507447861019551
C1,-0.0005707925912732226,0.002344794318637511,-0.07185104297077642,0.01815252042902598,0.0900035633998024
C2,-0.002159312821477777,0.0041813037456531164,-0.07156395948304492,0.008949058096078986,0.08051301757912391
C3,0.00460232145003935,0.0021236061161257224,-0.07190361776790455,0.010856658228195225,0.08276027599609978
C4,-0.0071236792069341226,0.0029744593057836445,-0.07125102941014805,0.0014387260647901693,0.07268975547493822
C5,-0.008814849605371124,0.004825532511242152,-0.0706171939702894,0.0029694857661340425,0.07358667973642344
C6,-0.009389211250301831,0.004413187377630404,-0.0706502450350238,0.0020356192385790972,0.07268586427360291
CP1,-0.0018091709334075957,0.003330618799944453,-0.07160349291104393,0.007507961853865142,0.07911145476490906
CP2,-0.006800180235699116,0.004226047164344349,-0.07117473305514786,0.0044821990381523225,0.07565693209330018
CP3,0.005764052247252368,0.001170453277402582,-0.07257117264299914,0.011764016679143967,0.08433518932214311
CP4,-0.008418614039213786,0.0035051139904890057,-0.07107975044908814,0.0008427602690703872,0.07192251071815853
CP5,-0.007021577326873959,0.004780070825699758,-0.07080592631337887,0.004121170045516091,0.07492709635889497
CP6,-0.00962488028864776,0.004402480748864694,-0.07057466872217869,0.001490188572956041,0.07206485729513473
Cz,0.0016977742910151993,0.002675071745358868,-0.07210136302560592,0.010683218272095042,0.08278458129770097
F1,-0.002100894084322761,0.0033001919168203857,-0.07154460369627308,0.0077547242595724635,0.07929932795584554
