channel,mean_uV,std_uV,min_uV,max_uV,ptp_uV
AF3,0.01041193139716173,0.002610528586433865,-0.09317035788889783,0.08592334509866183,0.17909370298755967
AF4,0.0053315993056123325,0.002093615459197816,-0.0912084518369756,0.08609492705370048,0.17730337889067607
AF7,0.014292542485948455,0.0030085790504703366,-0.09119699586657676,0.08571915169078001,0.17691614755735677
AF8,0.010114364308182635,0.0032661913870358785,-0.09072787846080058,0.08584151437740077,0.17656939283820133
C1,0.003989193443527293,0.0023351142090402067,-0.09087129093613422,0.08623787592766652,0.17710916686380074
C2,0.006970567627808043,0.002655562078692733,-0.09069301442215573,0.08605697195022324,0.176749986372379
C3,0.0029345132486510083,0.0025604031626607444,-0.09086653151952251,0.08618940735385099,0.1770559388733735
C4,0.002632388803700705,0.0036062223984874163,-0.08993943596581547,0.0946440442148081,0.18458348018062357
C5,0.008622847599095993,0.002767709543102057,-0.09086097233344577,0.08595547896087771,0.1768164512943235
C6,0.006908293239784526,0.0027867573213365233,-0.09072843676869378,0.08607187211763444,0.17680030888632822
CP1,0.0017068626388918688,0.007303233540009574,-0.09492736026179138,0.08636535033449125,0.18129271059628263
CP2,-0.005104902739500096,0.0015062545134699576,-0.09419690867207059,0.09264984014576924,0.18684674881783983
CP3,0.006701902204447798,0.002499131093255397,-0.09096979741612018,0.08619489845316197,0.17716469586928216
CP4,-0.0003836282971703859,0.0016125140794523145,-0.09093793982936846,0.08649091803349919,0.17742885786286766
CP5,0.008048543012527824,0.0032327221720149413,-0.09787184959764073,0.09811531419037159,0.19598716378801231
CP6,0.008389585506947407,0.0025850495492930753,-0.09098621024670522,0.09106223720648723,0.18204844745319246
Cz,-0.002432139162577951,0.0017843678639502649,-0.09062588243629419,0.08648383696480196,0.17710971940109616
F1,0.005014318723149231,0.001951447137010397,-0.09102583780713111,0.08611955041273234,0.17714538821986345
F2,-0.0006728725155930751,0.0017221528192402345,-0.09117797521224419,0.08636084371559337,0.17753881892783757
F3,0.0035638051452389235,0.0018954641176770518,-0.09109993585498136,0.08613378608076527,0.17723372193574663
F4,-0.0025050297295936257,0.0017795848030513937,-0.09109948141825014,0.0863953825086976,0.17749486392694774
F5,0.0049597259850006495,0.0024196783945437477,-0.09118946396310773,0.08607261501934846,0.1772620789824562
F6,0.012362378282564314,0.003862529054436954,-0.09057156782657766,0.08575519797186887,0.17632676579844653
F7,0.009427100764487072,0.0025995680396830203,-0.09107828509147751,0.08588903434118753,0.17696731943266503
F8,-0.0039564949305820425,0.0020502422885089583,-0.0910902284218146,0.08641782124634065,0.17750804966815525
FC1,0.009757198334133731,0.002352223772405728,-0.0912001561460093,0.08593802255392777,0.1771381786999371
FC2,-0.0063734123836868125,0.002048546337845437,-0.09103713821598462,0.08658059676903723,0.17761773498502187
FC3,0.004822587165986197,0.0023039505917182455,-0.09133310876010335,0.0861720678486263,0.17750517660872966
FC4,0.0010345207005334326,0.001653367807184597,-0.09107948568624943,0.08629311828626682,0.17737260397251625
FC5,0.008198244934080504,0.0029177988966328596,-0.09084652991503686,0.08594577665041246,0.1767923065654493
FC6,-0.007760529939046102,0.004224981093342394,-0.09238809244398927,0.08665492790133403,0.1790430203453233
FCz,0.007638553855945239,0.002531051906226616,-0.09084221501548262,0.08604353628314662,0.17688575129862924
FT7,-0.014680858588790101,0.002570404563500817,-0.09075922614461646,0.08705004788780588,0.17780927403242233
FT8,0.006698522524938788,0.0023846142473728025,-0.09090250192507207,0.08612463372077823,0.17702713564585032
Fp1,0.01044843727687192,0.0027445210851638905,-0.09102741584412641,0.08586016596113175,0.17688758180525815
Fp2,0.013050659826772759,0.003176703311762392,-0.09106359020708114,0.08573740834404306,0.1768009985511242
Fpz,0.015230433400005839,0.0033245071060422978,-0.09113362032480571,0.08566063465223092,0.17679425497703663
Fz,0.006120090702830263,0.0021587311948394125,-0.09108316051503476,0.0860397313631027,0.17712289187813746
O1,-0.01779756700325713,0.003704550736237736,-0.095582824347039,0.08483801597527096,0.18042084032230998
O2,-0.003216140815276622,0.002100042957445273,-0.09157308303359568,0.08610096003440165,0.17767404306799733
Oz,0.0036977257488130877,0.0019402358122326971,-0.09093143459456082,0.0863180966692648,0.17724953126382562
P1,0.008756401733350624,0.001822599662331629,-0.0914211996880729,0.0861017095795832,0.1775229092676561
P2,0.010505351590934272,0.0033365933936956643,-0.0905978828828645,0.0859659368252963,0.1765638197081608
P3,0.0022742594605952454,0.0022237102604608277,-0.09737963106206535,0.09594624436637203,0.19332587542843738
P4,0.005591447906869887,0.0020566701925966353,-0.09240940643505452,0.08616076654967361,0.17857017298472813
P5,0.011149847673798615,0.0026064359503632237,-0.09111799931063555,0.08595328384682302,0.17707128315745857
P6,-0.0012776924144630858,0.001963577223797576,-0.09070117283476922,0.08645993885224705,0.17716111168701626
P7,0.0066031350765351085,0.0028500921260557516,-0.09892324916424622,0.09835014902511888,0.1972733981893651
P8,-0.008911576711955357,0.001952935692537443,-0.09092000845878205,0.08599070472267933,0.1769107131814614
PO3,-0.0011986908157328145,0.0015507997541658743,-0.09119124927884088,0.08655203912069415,0.17774328839953502
PO4,-0.00216170037250096,0.001879759143549921,-0.09053236171723053,0.08648551349480012,0.17701787521203066
PO5,-0.002921657160748257,0.0015778738782036704,-0.09093724525273736,0.08659277396191326,0.17753001921465061
PO6,0.0002674402629245237,0.001554614003587699,-0.09117482059533383,0.08653308843654936,0.1777079090318832
PO7,-0.0036104762691483937,0.0017786276473324661,-0.09054415160578565,0.08659008967745532,0.17713424128324096
PO8,0.008838327295071013,0.002905674308603855,-0.09074148498282464,0.0860410495993964,0.17678253458222104
POz,0.008234951530316633,0.003531760327112836,-0.09530610193484468,0.08664807642772131,0.181954178362566
Pz,0.001818039377913172,0.0019290100076141711,-0.09798068460375703,0.09676904272154836,0.19474972732530538
T7,0.010858203216302667,0.0027059771906784882,-0.09116417868597446,0.08583057204664704,0.1769947507326215
T8,0.004679739835427342,0.002479236625957078,-0.09071881512722045,0.0860856844762505,0.17680449960347094
TP7,0.014408922854850527,0.0031835811273854897,-0.0911189805679479,0.0857976857770136,0.1769166663449615
TP8,0.008270542784624002,0.0036379880305437593,-0.0911460173633811,0.0859936928719654,0.1771397102353465
