channel,mean_uV,std_uV,min_uV,max_uV,ptp_uV
AF3,-14986.4580078125,1455.40478515625,-83886.1015625,-8690.0546875,75196.046875
AF4,4057.772705078125,1446.71630859375,-83886.1015625,21956.1796875,105842.28125
AF7,15981.3642578125,1629.3116455078125,-83886.1015625,19539.501953125,103425.6015625
AF8,8097.955078125,1037.9068603515625,-83886.1015625,20888.64453125,104774.75
C1,4257.912109375,1214.575439453125,-83886.1015625,7276.91259765625,91163.015625
C2,977.0991821289062,977.564453125,-83886.1015625,11132.3330078125,95018.4375
C3,-323.2554016113281,1545.2093505859375,-83886.1015625,3738.93798828125,87625.0390625
C4,12592.181640625,2002.287109375,-83886.1015625,17148.42578125,101034.53125
C5,-10574.7294921875,1329.20849609375,-83886.1015625,-5584.7265625,78301.375
C6,5814.03857421875,1675.7254638671875,-83886.1015625,10648.4853515625,94534.5859375
CP1,2082.5986328125,1420.2119140625,-83886.1015625,22864.994140625,106751.09375
CP2,-3858.816162109375,1481.0093994140625,-83886.1015625,1043.2161865234375,84929.3203125
CP3,8131.4072265625,1676.4940185546875,-83886.1015625,11685.30078125,95571.40625
CP4,2214.4384765625,2034.06591796875,-83886.1015625,7210.3515625,91096.453125
CP5,-5556.98779296875,1788.3858642578125,-83886.1015625,449.2869567871094,84335.390625
CP6,10720.4765625,1687.2340087890625,-83886.1015625,15028.712890625,98914.8125
Cz,-6870.80810546875,1547.762451171875,-83886.1015625,-2072.35205078125,81813.75
F1,3471.22021484375,1418.225830078125,-83886.1015625,6214.49609375,90100.59375
F2,-6728.61083984375,1140.112548828125,-83886.1015625,26510.490234375,110396.59375
F3,12958.7109375,2089.988037109375,-83886.1015625,16915.462890625,100801.5625
F4,-6592.64111328125,1045.7064208984375,-83886.1015625,22332.505859375,106218.609375
F5,-258.0967102050781,1794.1871337890625,-83886.1015625,3672.376953125,87558.4765625
F6,-7371.62060546875,1304.3336181640625,-83886.1015625,10540.962890625,94427.0625
F7,9476.0380859375,1605.6507568359375,-83886.1015625,13385.1669921875,97271.265625
F8,-3771.414794921875,1290.5423583984375,-83886.1015625,14890.470703125,98776.5703125
FC1,-8601.845703125,1436.6854248046875,-83886.1015625,-3710.777587890625,80175.3203125
FC2,4252.2353515625,1115.8057861328125,-83886.1015625,20133.431640625,104019.53125
FC3,11536.623046875,1528.8614501953125,-83886.1015625,15023.5927734375,98909.6953125
FC4,6239.08642578125,1190.8956298828125,-83886.1015625,14598.6259765625,98484.7265625
FC5,-6055.4013671875,1615.5299072265625,-83886.1015625,-1186.578369140625,82699.5234375
FC6,-10049.36328125,1543.222900390625,-83886.1015625,7722.35986328125,91608.4609375
FCz,-10920.5146484375,1520.2484130859375,-83886.1015625,-6419.29931640625,77466.8046875
FT7,7054.7119140625,1699.926513671875,-83886.1015625,10986.41015625,94872.515625
FT8,-9914.150390625,1225.6788330078125,-83886.1015625,9340.3046875,93226.40625
Fp1,46.38082504272461,1219.38623046875,-83886.1015625,3142.44873046875,87028.546875
Fp2,-2102.34228515625,1318.60888671875,-83886.1015625,20366.396484375,104252.5
Fpz,3485.070068359375,1375.80810546875,-83886.1015625,6539.62158203125,90425.7265625
Fz,-11610.828125,1159.80908203125,-83886.1015625,54486.60546875,138372.703125
O1,-9500.2646484375,1505.8238525390625,-83886.1015625,-4839.7548828125,79046.34375
O2,-3736.32958984375,1428.0946044921875,-83886.1015625,1112.3372802734375,84998.4375
Oz,2864.637451171875,1783.1336669921875,-83886.1015625,7358.833984375,91244.9375
P1,-6468.42333984375,1261.3504638671875,-83886.1015625,1470.7427978515625,85356.84375
P2,6420.470703125,1702.6854248046875,-83886.1015625,10873.7685546875,94759.8671875
P3,2945.12255859375,1528.6021728515625,-83886.1015625,7555.95703125,91442.0625
P4,9229.3349609375,1840.0572509765625,-83886.1015625,13845.974609375,97732.078125
P5,-12956.470703125,1646.272705078125,-83886.1015625,-8587.6533203125,75298.4453125
P6,-13149.474609375,1331.304931640625,-83886.1015625,-3782.45849609375,80103.640625
P7,-16810.13671875,1393.8121337890625,-83886.1015625,-12811.71875,71074.3828125
P8,-7212.2216796875,1287.671142578125,-83886.1015625,1767.7073974609375,85653.8125
PO3,-11148.81640625,1502.825927734375,-83886.1015625,-6890.3466796875,76995.7578125
PO4,-13516.533203125,1438.072265625,-83886.1015625,-3913.020751953125,79973.078125
PO5,-11095.28125,1357.363037109375,-83886.1015625,-6890.3466796875,76995.7578125
PO6,-11079.7587890625,1249.8087158203125,-83886.1015625,-2868.5244140625,81017.578125
PO7,-11740.8759765625,1219.5501708984375,-83886.1015625,-7934.8427734375,75951.2578125
PO8,-11034.5927734375,1321.4034423828125,-83886.1015625,-2697.001708984375,81189.1015625
POz,12723.98828125,1150.8602294921875,-83886.1015625,15970.8076171875,99856.90625
Pz,6902.5283203125,1211.4169921875,-83886.1015625,10569.1240234375,94455.2265625
T7,-13233.1787109375,1468.130859375,-83886.1015625,-9250.703125,74635.3984375
T8,-1796.993408203125,1456.3642578125,-83886.1015625,10246.55859375,94132.65625
TP7,-12797.7568359375,1399.50927734375,-83886.1015625,-8989.5791015625,74896.5234375
TP8,-15660.7890625,1176.195556640625,-83886.1015625,-1696.0262451171875,82190.078125
