channel,mean_uV,std_uV,min_uV,max_uV,ptp_uV
AF3,-0.007916761293676867,0.00095822741618465,-0.08953533865625414,-0.002230618420173903,0.08730472023608024
AF4,0.001274882628111611,0.0011924571676086425,-0.09024271156771393,0.012827590580389542,0.10307030214810348
AF7,-0.014178531661579794,0.0007185960468042448,-0.0890385467819744,-0.009386815879041088,0.07965173090293332
AF8,-0.009515644699711542,0.0009721106047619189,-0.08935389738323402,0.011635351102607744,0.10098924848584176
C1,0.00011904481978371931,0.0008118009793103335,-0.09011516673979199,0.006191652143290605,0.0963068188830826
C2,-0.004763080739520117,0.0011707030580884467,-0.08983202647943941,0.016841547641379136,0.10667357412081854
C3,0.004724704354665639,0.0013039415962084742,-0.09051248730067622,0.011934160797330262,0.10244664809800648
C4,-0.0061933796082272305,0.0008404575069272056,-0.08965756339656017,0.011117938457585977,0.10077550185414615
C5,-7.494998714939443e-05,0.0028960786318639824,-0.09050245565497253,0.011796730701203956,0.10229918635617649
C6,-0.01748991878677651,0.0009836499537568995,-0.0888606548314597,-0.00044423425102460556,0.0884164205804351
CP1,0.003873399487109877,0.001098399770875923,-0.09020236653858826,0.011807728504460241,0.1020100950430485
CP2,0.000163258751981033,0.0009432786259462789,-0.09004829737886504,0.008595603494061937,0.09864390087292697
CP3,0.0016359589279268218,0.0020646155725778754,-0.09039731151205851,0.0102708512081645,0.10066816272022301
CP4,-0.0013062242692470833,0.0012006125790310859,-0.08982073345209317,0.010401519375066164,0.10022225282715932
CP5,-0.00349790158329771,0.0009721737777795461,-0.08990290278361249,0.00338906495217327,0.09329196773578576
CP6,-0.012802822511962669,0.001152886970465024,-0.08919528074833807,-0.0005065491474071787,0.0886887316009309
Cz,-0.01122538027245888,0.0007938994416832838,-0.08929737927305205,-0.005038558512966631,0.08425882076008542
F1,-0.008659382908178354,0.0020734458850080444,-0.08966373534305352,-0.0003560658083253225,0.0893076695347282
F2,0.003728194296873345,0.001297136419386385,-0.09021315198642398,0.021381606205334087,0.11159475819175807
F3,-0.01421329686868435,0.0011276960418953694,-0.08911628826165117,-0.008271775555261865,0.08084451270638932
F4,-0.0010892636167095908,0.0014315644844739444,-0.08981857349978098,0.016904407937103537,0.10672298143688452
F5,-0.007735134566894793,0.0008196839667846347,-0.08946863113885686,-0.003163057459926011,0.08630557367893085
F6,-0.008728218895557886,0.0009078023639802984,-0.0894647203863701,0.011241037318845029,0.10070575770521513
F7,-0.007965979903231765,0.0007448950542146484,-0.0894896859899372,-0.0028471195640196725,0.08664256642591753
F8,-0.007911291529310029,0.0009761749116454682,-0.08956143823919005,0.00894048026848751,0.09850191850767756
FC1,4.839618619944511e-05,0.000809779439175723,-0.09007240102093879,0.006398687507088718,0.09647108852802751
FC2,-0.010698867958881529,0.0011313758217326138,-0.0893505814169045,0.020811875618043707,0.1101624570349482
FC3,-0.002883126891199742,0.0007796909134509761,-0.08989699026623424,0.0035779480643695766,0.09347493833060382
FC4,-0.012000235444793388,0.0016735389666661265,-0.08936063120936492,0.010970445600469315,0.10033107680983425
FC5,-0.015555883322072653,0.001093111767575227,-0.08894402333222322,-0.010738115663036486,0.07820590766918672
FC6,-0.01575568975969709,0.0013186400358847384,-0.0890051355169758,0.003565071822279428,0.09257020733925522
FCz,-0.010818890597131463,0.0012341226722102558,-0.08936128527291443,-0.004723860489528858,0.08463742478338557
FT7,-0.01714769087703544,0.0010021375862782568,-0.08884501082363525,-0.009334966678135381,0.07951004414549986
FT8,-0.013639629030063534,0.0015315086125492058,-0.08927115389928708,0.004568436564904563,0.09383959046419164
Fp1,-0.0038458592470553173,0.0007791187044417759,-0.089814999913444,0.001829697756420092,0.09164469766986409
Fp2,-0.01355924157472881,0.0014137275178966124,-0.08898824147797328,0.015962545506347306,0.10495078698432059
Fpz,-0.002083617906762549,0.0007981554202505327,-0.08995530751706787,0.0038452593386399713,0.09380056685570784
Fz,0.006045168941570457,0.0011677959383275512,-0.0904266052568738,0.023569481424582605,0.1139960866814564
O1,-0.01515217661744175,0.0013149634112620135,-0.08906451601488075,-0.008989149799985174,0.08007536621489557
O2,-0.011034817146993618,0.0006958554797301536,-0.08928798251857173,-0.0026519946273416833,0.08663598789123005
Oz,-0.00414715299159409,0.00246551912168679,-0.08953685232131833,0.004207016743282624,0.09374386906460096
P1,0.003821369508835423,0.0009452246489570445,-0.09046924994270586,0.011310218896162853,0.10177946883886871
P2,-0.00021596229881397117,0.0025792173749792056,-0.0897999585727012,0.012490937966897974,0.10229089653959918
P3,-0.0002794361618141045,0.0007971979884980898,-0.09005723399771423,0.005353536167746695,0.09541077016546093
P4,-0.007839719205071831,0.0008239455206981338,-0.08958467691271847,-0.0014701988805295597,0.08811447803218891
P5,-0.004123064252661794,0.0011067253841555837,-0.08968699157060639,0.0009352669568071792,0.09062225852741357
P6,-0.01718684483664638,0.0011619764283059746,-0.08892663685314353,-0.0062451139901647384,0.08268152286297879
P7,-0.005552838188468664,0.0014372771203135578,-0.08952098900416391,0.000350724299251373,0.08987171330341528
P8,-0.01821712804049951,0.0009997051805497468,-0.08881946944556526,-0.007022948271900975,0.08179652117366429
PO3,0.003309577811408627,0.0008673176229631397,-0.09036138005925626,0.009752419113461077,0.10011379917271733
PO4,-0.009469791132880748,0.0007054860959192475,-0.08938945305911461,-0.0012519328191243212,0.08813752023999029
PO5,-0.003789487414832803,0.0009587412120622699,-0.08973406226330287,0.0015541627541047487,0.09128822501740762
PO6,-0.008505948536055904,0.000824543739817041,-0.08953251182713656,-0.0008738760681052254,0.08865863575903134
PO7,-0.003373388218865339,0.0007605577339759977,-0.08982454987219779,0.001987600511622866,0.09181215038382065
PO8,-0.010070962584532455,0.000690776780637054,-0.08935397321446902,-0.0019619028315581988,0.08739207038291082
POz,-0.0017860650248359192,0.0018409784520152992,-0.08980486053760695,0.006277388601276898,0.09608224913888384
Pz,-0.0020264749917388403,0.0008748816027888711,-0.0898993874115916,0.006547740333085303,0.09644712774467691
T7,-0.006942058714048949,0.0012828286898836788,-0.08942947577462963,0.0026387685285632623,0.0920682443031929
T8,-0.005251654421666893,0.0010631404098699262,-0.08976329293811527,0.007710240523565115,0.09747353346168039
TP7,0.008664089456341562,0.0010058373282943861,-0.09073246692579706,0.015124424816849892,0.10585689174264695
TP8,-0.014217578512371484,0.0009299690874825638,-0.08905743081091486,-0.0016503154612013682,0.08740711534971349
