channel,mean_uV,std_uV,min_uV,max_uV,ptp_uV
AF3,-0.016150225352594264,0.001152038765545973,-0.08831610353222204,-0.009563068897952023,0.07875303463427001
AF4,-0.009619489161162285,0.0017923983411314928,-0.08902288959357815,-0.0007806563625954426,0.08824223323098271
AF7,-0.033855986688577595,0.0013327698122485886,-0.08685330252104737,-0.027658647729883315,0.05919465479116405
AF8,-0.007857339624217467,0.0020087295196200426,-0.08920808235825331,0.001518961037051566,0.09072704339530488
C1,-0.019841851579522625,0.0019358882607156754,-0.0881198306992215,-0.011998700267345543,0.07612113043187596
C2,0.011370806439056278,0.003160167604904274,-0.09089776215313763,0.022406494645499854,0.11330425679863748
C3,-0.021614653324785252,0.002809511134668618,-0.08811273866235822,-0.01207783192797681,0.0760349067343814
C4,-0.011118932921534923,0.0038305115144552427,-0.0892221697093552,0.0016856651448566157,0.09090783485421182
C5,-0.0225410101956893,0.0027341293689948426,-0.08785979406888608,-0.01521297882718984,0.07264681524169625
C6,-0.02361919685240088,0.004555538636173129,-0.08817482101491309,-0.011270315711316994,0.07690450530359609
CP1,-0.016799454950155328,0.0018878302503649855,-0.0884039897197716,-0.004401429665663934,0.08400256005410767
CP2,-0.015341320165476149,0.0013650672381443402,-0.08845448088004633,-0.00780365608798415,0.08065082479206218
CP3,-0.009135035015404825,0.0014622249327171655,-0.08899646968933803,0.002771776054081781,0.09176824574341981
CP4,-0.007075814064149436,0.004056308535251975,-0.0895585362352487,0.005838728404012679,0.09539726463926138
CP5,-0.01635015380959848,0.0021914230386925024,-0.08811839280030423,-0.011255062030625365,0.07686333076967887
CP6,-0.009304509798359346,0.0015251399949031865,-0.08897085915813738,-0.001430348713036574,0.0875405104451008
Cz,-0.004062278720439847,0.0019958815773937566,-0.08954119713440592,0.005530844971526799,0.09507204210593272
F1,-0.026747434166977224,0.0015574820203760515,-0.08752942769939501,-0.019302621420833218,0.06822680627856179
F2,-0.02061521286447242,0.0012907510506930404,-0.08798820909371365,-0.013223069089958253,0.07476514000375539
F3,-0.021545000662335466,0.001717641909803931,-0.0879518601021427,-0.014084805374758438,0.07386705472738427
F4,-0.029371376487614734,0.0016440843191009953,-0.08730056700376285,-0.020536403080840426,0.06676416392292242
F5,-0.03501977680475642,0.0028159615522255223,-0.08699449693132429,-0.02591770865301457,0.061076788278309715
F6,-0.022810648844452892,0.0020477840865029805,-0.08792702637441113,-0.01432558005354427,0.07360144632086686
F7,-0.03593975063770835,0.002161801282408409,-0.08682427187432343,-0.028024298812974857,0.05879997306134857
F8,-0.03691678189798942,0.0021093230024175394,-0.0867389205936166,-0.027186762553631068,0.05955215803998553
FC1,-0.015748695143518104,0.0027111660386823456,-0.08860982854887851,-0.00593473487656862,0.0826750936723099
FC2,-0.009216837723725007,0.001228112993584789,-0.08890410843432858,-0.0022421783861929587,0.08666193004813562
FC3,-0.01848583882327676,0.002126728266472213,-0.08833151247240914,-0.009376698261780187,0.07895481421062896
FC4,-0.024638093812883944,0.0015698522099985624,-0.08771866152773314,-0.016898044772845972,0.07082061675488717
FC5,-0.014979853059969368,0.0032178303292313168,-0.08862620004433316,-0.005722276854942893,0.08290392318939027
FC6,-0.011711284336280723,0.0014233853855300507,-0.08873148489895435,-0.004379012993548256,0.0843524719054061
FCz,-0.014511489328590319,0.0017989845255165237,-0.08859412147472051,-0.006129081704372716,0.08246503977034779
FT7,-0.02290685755277219,0.0022915230011675185,-0.08760519885938937,-0.011323874840819974,0.07628132401856941
FT8,-0.02195388740323709,0.0011499012170600746,-0.08771105295055981,-0.015949591191307205,0.0717614617592526
Fp1,-0.014419190023424122,0.0015687625089911407,-0.08854867537587428,-0.0066880870434827076,0.08186058833239157
Fp2,-0.006380304881815243,0.0021030809117427536,-0.08935991035120619,0.003391640050525258,0.09275155040173144
Fpz,-0.013555064726101749,0.0015803614909559575,-0.08840952549092093,-0.008397154952030018,0.08001237053889092
Fz,-0.008780618791547947,0.001462262200889887,-0.08901003321112406,-0.0009371461628243198,0.08807288704829974
O1,-0.02809696519787723,0.0013344031142394559,-0.08735348950078366,-0.021468756340452047,0.06588473316033161
O2,-0.012187270310982422,0.0013939792744011544,-0.08858434853941557,-0.0062295674722437615,0.08235478106717181
Oz,-0.014483710571667549,0.0011291235138314111,-0.08842543172315334,-0.008192778556908815,0.08023265316624453
P1,-0.016326220009087962,0.0019758193654873693,-0.08846619591785806,-0.0062720675329036015,0.08219412838495446
P2,-0.0107687117327924,0.0013377954044840987,-0.08880713718217584,-0.0034579471314139347,0.0853491900507619
P3,-0.0031480635504738705,0.0013344368548979134,-0.08938755453372582,0.0036978381667515433,0.09308539270047736
P4,-0.015541462420311252,0.0014771584623938445,-0.08843322257527192,-0.008086142661537711,0.08034707991373422
