channel,mean_uV,std_uV,min_uV,max_uV,ptp_uV
AF3,0.00267814162849417,0.0010759031917074962,-0.05716359586594188,0.006874725797756484,0.06403832166369836
AF4,0.002682476778725071,0.001086263142035355,-0.05716965626905679,0.008174238419387438,0.06534389468844423
AF7,-0.006619718273369139,0.0011947819778918582,-0.05657346308114996,-0.0020651849159033994,0.05450827816524656
AF8,-0.00738417214752212,0.0013179991022262052,-0.056543655247155114,-0.002509276024858197,0.05403437922229692
C1,0.003908985691373613,0.0011203024378083205,-0.057261532053123024,0.00836363666895649,0.06562516872207952
C2,0.0031977141595016466,0.0011100878226815885,-0.057216559079454755,0.008602173007673233,0.06581873208712799
C3,0.0032888722587981825,0.0011733064710047739,-0.05719145155260227,0.009968394969684134,0.0671598465222864
C4,0.0031970001563846355,0.0011119757356139771,-0.057215451451130606,0.008488425254026433,0.06570387670515704
C5,0.00360732305422154,0.0012696925641744931,-0.05714466705174396,0.007124388155849535,0.06426905520759349
C6,0.003753720849662601,0.00135551579791813,-0.057216254810147214,0.009424094747051389,0.06664034955719861
CP1,0.008560026463570491,0.0013747210843492823,-0.05761099006339774,0.014320868827677266,0.071931858891075
CP2,0.0006374467636076731,0.0010430112927595602,-0.05700541193161776,0.006487393529910691,0.06349280546152845
CP3,0.0038005637277108047,0.001195764349086306,-0.05723508608811993,0.010665956880587378,0.0679010429687073
CP4,0.001008490112617604,0.001053010768063437,-0.05701903248240382,0.006714462247719971,0.0637334947301238
CP5,0.0011961753258147982,0.0010620056875861132,-0.05705835414247777,0.007615699143309326,0.0646740532857871
CP6,-0.002371690167968868,0.0011209359344608613,-0.05682107645892616,0.0017036684757056552,0.05852474493463181
Cz,0.003328670229577419,0.0011092467354902702,-0.05722194657672806,0.00826232330144587,0.06548426987817393
F1,0.0051473973489546436,0.0012504462932985741,-0.05739220488184461,0.010345596522236353,0.06773780140408096
F2,0.002867342387017692,0.0011046715149712295,-0.05719185133246933,0.008649030795067313,0.06584088212753664
F3,0.0023050363595099573,0.0010673121769176003,-0.05713975528779134,0.006512531939044167,0.06365228722683551
F4,0.002717742340072461,0.0010818447344455872,-0.05715982411810867,0.008540573503501372,0.06570039762161003
F5,0.0013972260693437507,0.0010523273188988843,-0.05707084183251329,0.0054650944697390205,0.0625359363022523
F6,-0.0034987765931813004,0.0011377534790211255,-0.05678122261611062,0.001099903943439931,0.05788112655955055
F7,0.0083571074228731,0.0013694322755325814,-0.05760596014078417,0.013621204917333636,0.0712271650581178
F8,0.0023106074227136893,0.0011409028400409078,-0.05715837161181168,0.006836638019369788,0.06399500963118146
FC1,0.002981706830581183,0.0011523554153553867,-0.05713595531901691,0.006475362225358859,0.06361131754437577
FC2,0.002245104504157387,0.0010794449854573459,-0.0571389379146061,0.0073285495371425355,0.06446748745174863
FC3,0.003137780800533577,0.0010829410560160293,-0.05717491641166221,0.0070450125844138695,0.06421992899607608
