channel,mean_uV,std_uV,min_uV,max_uV,ptp_uV
AF3,-0.010937397167464098,0.001978577680102453,-0.08767443092579918,-0.007552375700544553,0.08012205522525463
AF4,8.534257672209881e-05,0.001619046693539044,-0.08814147127169472,0.007553523684424676,0.0956949949561194
AF7,-0.011448363905509866,0.0014151806708050862,-0.08764626747584768,-0.004235308029105253,0.08341095944674243
AF8,-0.009685975983919466,0.002974097519035404,-0.08768417909926332,0.015594536275328336,0.10327871537459166
C1,-0.004085241374094765,0.0023319843683177266,-0.08806811055346883,0.0023589212042248175,0.09042703175769365
C2,-0.0030718172010142093,0.0016932867222704256,-0.08806605293175215,0.002896363375770303,0.09096241630752246
C3,-0.0011343846049360782,0.002811090765028106,-0.08828699378605817,0.0037002375073555255,0.0919872312934137
C4,-0.008109683481308368,0.0015191384459786697,-0.08775858165182807,-0.00016470142900026907,0.0875938802228278
C5,-0.009954358037613674,0.0019145340518454917,-0.08770837752866054,-0.00409932525453785,0.08360905227412269
C6,-0.01244762579253385,0.0016515251809819213,-0.08754418960983862,-0.001535773389031353,0.08600841622080727
CP1,0.003560478954443917,0.002943272656650171,-0.08863941075096143,0.010718607295961602,0.09935801804692304
CP2,-0.00421963583654837,0.0016356867371336659,-0.08799603517718194,0.0014795491411711964,0.08947558431835313
CP3,0.001356155440319511,0.003424163243073851,-0.08844604291222238,0.0073925491255521225,0.0958385920377745
CP4,-0.002458068107940718,0.001585497207492955,-0.08802536185638615,0.00414271864396272,0.09216808050034887
CP5,-0.005095166181399908,0.0016254960479516677,-0.08784249504148633,-0.0014256957793856717,0.08641679926210066
CP6,-0.0026840357945810407,0.0015558481891098396,-0.08800698222622505,0.005408749306474933,0.09341573153269998
Cz,-0.005385787844482481,0.0017167455287590858,-0.08796508242242997,0.0037840330610865863,0.09174911548351655
F1,-0.004770351626780813,0.0015813629829101933,-0.08797161432477502,0.002148183683963162,0.09011979800873818
F2,-0.005363269997701251,0.0016223051914628752,-0.08791040136155939,0.006296613164495063,0.09420701452605446
F3,-0.004626234855888964,0.002419196529453257,-0.08802643380828662,-0.0009814674506578025,0.08704496635762882
F4,-0.001902567769986842,0.0015398936045657517,-0.0880604025168096,0.006459955647031071,0.09452035816384068
F5,0.0016760535526775145,0.003220131444673777,-0.08818037906022719,0.009461259957184349,0.09764163901741153
F6,-0.02134983370757153,0.001735274721655577,-0.0870768540464287,0.004320123574708595,0.0913969776211373
F7,0.0020388795779214754,0.0020584421963480213,-0.08823182328095588,0.005933036704195116,0.094164859985151
F8,-0.01962896945842644,0.0018753808722636208,-0.08719741524028427,0.0038095634790494826,0.09100697871933375
FC1,-0.005464780019610468,0.002251722328731684,-0.08800233336085445,0.005521956504753872,0.09352428986560832
FC2,-0.004104885184238679,0.001623414765316807,-0.08799411126575832,0.0037342042412978893,0.09172831550705621
FC3,-0.0044666511970399446,0.0018273897242084367,-0.08798972803609137,-0.0007976418990504885,0.08719208613704088
FC4,-0.006890256077053317,0.001577864852897471,-0.08781593208836705,0.0026677193234886515,0.0904836514118557
FC5,-0.00050902304187259,0.004348148247490235,-0.08837348261632039,0.005423599676583493,0.09379708229290389
FC6,-0.005235737094033241,0.0015109579542691549,-0.0879022737246546,0.004662425854770932,0.09256469957942554
FCz,-0.0016162037653381473,0.0016860961337550307,-0.08815943795319389,0.006321963629821431,0.09448140158301532
FT7,-0.003263656400512548,0.0015764182871310835,-0.08793942986606082,0.0011530429965738304,0.08909247286263465
FT8,-0.0016212623743782656,0.0018085258964602858,-0.08814848101775738,0.007012697462078707,0.09516117847983609
Fp1,-0.0101174157945225,0.0017414563388608827,-0.0876791698950518,-0.005702914241977816,0.08197625565307398
Fp2,-0.007081531972970394,0.0016752627370966921,-0.0878939595751421,0.0080215694546322,0.0959155290297743
Fpz,-0.0020954794332908666,0.0017834162566771332,-0.08815260363892755,0.0009984458844225774,0.08915104952335012
Fz,-0.0045923056218659,0.0014940178824794786,-0.08794643278567682,0.0021116212137567703,0.09005805399943359
O1,-0.01041868559972092,0.001891740990563708,-0.08760596731281366,-0.004587104103891404,0.08301886320892225
O2,-0.003128608987020243,0.0015840636234042724,-0.0880193116155269,0.003915277744152693,0.09193458935967959
Oz,-0.019139913117862825,0.0023401574138857007,-0.08737584983955946,-0.009122514250019295,0.07825333558954016
